"what" comment	comments,code,deodorant,smell,comment
+1	vote,favor
68-95-99.7 rule	fact,values,deviation,mean,deviations,cases
abandonware	software
absolute error	difference,value,quantity
absolute path	path,location,filesystem,equivalent,latitude,longitude,geography
absolute row number	index,row,table,section
abstract method	object,programming,programmers,parent,class,operations,child,classes
abstract syntax tree	data,structure,tree,program,ast,node,loop,child,condition,body
accuracy	accuracy,results,value,measure,classification,model,proportion,predictions,cases,negative,precision,ways,hand
actual result (of test)	outcome,value,test
affordance	fields,handle,button
afraid to fail	caller,things,code,status,codes,exceptions,ifs,call,chain
agents	systems,llms,reasoning,decision,tasks
aggregation	values,numbers,strings
aggregation function	function,values,sum,max
agile development	software,development,methodology,lots,steps,feedback,planning,scheduling,programming
algorithm	algorithm,steps,intructions,rules,task,computer,science,instructions,program,problem
algorithmic bias	results,bias,treatment,algorithm,media,algorithms,content,groups,users
aliasing	references,data,structure,memory,file,disk
alternative classes with different interfaces	classes,job,spelling,hug_zombie,hug_snowman,logic,names,interface
anaconda	anaconda,software,distribution,python,repository,source,programs,data,science,conda,package,manager,navigator,suite,desktop,tools,ide,jupyter,notebook,application
anchor	expression,symbol,position,characters,start,`\b`,break,word
anonymous function	function,functions,callbacks,python,lambda,word
anti join	join,rows,table,keys
append mode	data,file,contents,overwriting,default,programming,languages,programs
application programming interface	functions,procedures,software,library,web,service,application,api,code,database,server,access
argument	synonym,parameter,argument,expressions,function,value,parameters,arguments,concepts,variables,values
arithmetic mean	numbers
artificial intelligence (ai)	intelligence,machines,humans,animals,inference,information,tasks,language,processing,computer,vision,machine,learning,#machine_learning
ascii	characters,languages,bit,integers,unicode
assertion	expression,program,assertions,language,python,assert`,statement,functions,stopifnot,testing,production,code,languages,data,validation,compilers,interpreters,optimization,conditions,security,risks,package,assertr,holes
associative array	dictionary
asynchronous	programming,operation
attention mechanism	technique,models,parts,input,token
attribute	value,pair,object,metadata,array,dimensions
auto-completion	feature,user,word,code,tab,key,words
autocorrelation	degree,similarity,observations,series,interval,lag,autocorrelation,analysis,insight,datasets,patterns,noise,uses
automatic variable	variable,value,build,rule,target,`$@,variables,pattern,rules
backpropagation	algorithm,weights,network,backpropagation,gradient,descent
backward-compatible	property,hardware,software,interoperability,legacy,input,function,python
base class depends on subclass	parent,class,children,inheritance,tree,leaf,trunk
base r	functions,language,base,packages,src,library,version,numbers,priority
bayes' rule	bayes,theorem
bayes' theorem	equation,probability
bayesian network	graph,relationships,variables,problem
bias	statistic,parameter
big data	data,people,computer
binary	states,computing,boolean,logic,computers,systems,bits
binary expression	expression,parameters,arguments
binary large object	data,database,audio,file,network,version,control,repository,bits
binary operator in name	things,confession,invitation,half
binomial distribution	probability,distribution,trials,outcomes
bit	unit,information,alternatives,computing
block comment	comment,lines,block,comments,start,symbols,`/*`,`*/`,descendents,marker
boilerplate	text,contracts,licenses,parts,source,code,functionality,object,programs,segments,variables,objects,languages,lot,statements,java,auto-completion
boolean	data,value,george,boole,century,mathematician,systems,computers,foundation,evaluations,states
boolean blindness	filter,function,booleans,information,values,reader
branch	git,branch
branch-per-feature workflow	strategy,work,git,version,control,systems,branch,feature,bug,fix,changes
breadcrumbs	links,websites,top,page,breadcrumbs,users,website,fairy,tale,children,trail
breadth first	data,structure,tree,problem,step,solution
browser cache	web,browsers,copies,files,pages,data,issues,version,file,browser
bug	feature,piece,software,equivalent,weed
bug report	collection,files,logs,information,output,code,program,error,warning,bug
bug tracker	bugs,software,program
build manager	program,track,files,commands,date,managers,parts,programs,workflows,plots,results,turn,data,configuration
build recipe	build,rule,date
build rule	specification,build,manager,files,others,date
build target	file,build,rule,date,dependencies
byte	unit,information,digits,bits
byte code	instructions,interpreter
cache	copies,data,requests,cpu,computer,hardware,cache,values,programs,software,network,traffic,latency,date,problems,science
caching	copy,data,cache,access
call stack	data,structure,information,subroutines
callback function	function,callbacks,functions,map,callback,element,collection,client,response,answer,request
callback hell	callbacks,closing,brackets,staircase,logic,indent
camel case	style,writing,code,variables,objects,space,`_`,dot,`.`,dash,`-`,characters,word,examples,calculatesum,findpattern
cascading style sheets	appearance,html,css,fonts,colors,layout
catch (an exception)	responsibility,error,event,condition,exception,python,hand,raising,exceptions,situations
causation	relationship,events,event,change
cc-0	commons,license,waiver,restrictions,work,domain
cc-by	commons,attribution,license,people,credit,author,work,restrictions
central processing unit	hardware,computer,cpu,circuitry,instructions,software,processor,microprocessor
centroid	center,anchor,algorithm
character encoding	specification,characters,bytes,encoding,today,utf
chi-square test	variables,cross,tabulation,chi-square,distribution,degrees,freedom
child (in a tree)	node,tree,parent
child class	object,programming,class,parent
class	object,programming,structure,data,operations,methods,program,constructor,properties,programmers,behavior,parent,classes,child
class imbalance	class,imbalance,problem,machine,learning,distribution,classes,dataset
classification	category,item,email,message,spam,machine,learning,algorithms,classification
clever code	code,ins,language,quirks,logic,liners
client	program,web,browser,data,server,users,requests,client
closure	variables,scope,existence
clustering	data,groups,advance
code coverage (in testing)	library,program,tests,percentage,lines,code,file,testing,coverage
code review	program,change,source,code
coercion	coercion
cognitive load	amount,working,memory,tasks
collection	data,items,fashion,examples,collections,lists,size,arrays,sets
combinatorial explosion	dozens,methods,detail,feature,count,luck,variant,edge
comma-separated values	text,format,data,record,row,fields,commas,variations,quoting,strings
command	instruction,computer,program,task
command history	list,commands,read,eval,print,loops,repls,unix,shell,record,history,users
command-line argument	filename,control,flag,command,program
command-line interface	user,interface,text,commands,output,shell
comment	script,code,text,notes,programming,languages
commit	verb,act,changes,database,version,control,repository,noun
commit message	comment,commit
compile	source,programs,languages,machine,instructions,computer,markdown,html,display
compiled language	language,fortran,machine,instructions,execution,languages,java,byte,code,python,fly
compiler	application,programs,languages,machine,instructions,byte,code
complicated boolean expression	math,problem,statement,timer,negations,conjunctions,glance
complicated regex expression	regex,pattern,decomposer,variables,builder,function,expression,self
comprehensive r archive network	repository,packages
computational linguistics	study,application,methods,languages,approaches
computational notebook	combination,document,format,users,prose,code,file,application,jupyter,notebook,markdown,files,examples,notebooks
compute shader	purpose,shader,program,processing,machine,learning,simulations,fields,computation
concatenate	programming,strings,collections,terms,data,tables,python,pandas,dataframe,tibble,columns,axis=1,rows,axis=0,joining
conda	package,manager,environment,management,python,programs
condition	error,event,flow,control
conditional complexity	chain,branch,feature,switch,statement,polymorphism,refactor,option
conditional expression	ternary,expression,role,statement,languages,syntax,test,false`,value,iftrue
confidence interval	range,estimate,margin,error,probability,value
configuration file	file,parameters,settings,software,program,configuration,config,files,information,changes,environment
