"what" comment	Comments that narrate what the code does instead of why — a deodorant sprayed over smelly code, where extracting a well-named method would eliminate both the smell and the comment.
+1	A vote in favor of something.
68-95-99.7 rule	Expresses the fact that 68% of values lie within one standard deviation of the mean, 95% lie within two, and 99.7% lie within three. Conversely, about 0.3% of values lie more than three standard deviations above or below the mean in most cases.
abandonware	Software that is no longer being maintained.
absolute error	The difference between the measured or inferred value of a quantity and its actual value, sometimes with the absolute value taken.
absolute path	A path that points to the same location in a filesystem regardless of where it is evaluated. An absolute path is the equivalent of latitude and longitude in geography.
absolute row number	The sequential index of a row in a table, regardless of what section of the table is being displayed.
abstract method	It is used in object-oriented programming and is a method that is defined but not implemented. Programmers will define an abstract method in a parent class to specify operations that child classes must provide.
abstract syntax tree	A deeply nested data structure, or tree, that represents the structure of a program. For example, the AST might have a node representing a `while` loop with one child representing the loop condition and another representing the loop body.
accuracy	Accuracy measures how close results are to the true or known value. A statistical measure of a classification model which gives the proportion of correct predictions among a total number of cases. It is calculated as Accuracy = (TP+TN)/(TP+TN+FP+FN). - TP = True Positive - FP = False Positive - FN = False Negative - TN = True Negative Accuracy and precision are both ways to measure results. Accuracy measures how close results are to the true or known value. Precision, on the other hand, measures how close results are to one another.
actual result (of test)	The outcome or value of performing a statistical test. If this matches the expected result, the test passes; if the two are different, the test fails.
affordance	Fields you can interact with such as a handle or button.
afraid to fail	Every caller has to check whether things actually worked, because this code returns status codes instead of throwing exceptions. The defensive ifs cascade up the entire call chain.
agents	Autonomous systems that use LLMs for reasoning and decision-making to accomplish complex tasks.
aggregation	To combine many values into one, e.g., by summing a set of numbers or linking a set of strings.
aggregation function	A function that combines many values into one, such as `sum` or `max`.
agile development	A software development methodology that emphasizes lots of small steps and continuous feedback instead of up-front planning and long-term scheduling. Exploratory programming is often agile.
algorithm	An algorithm is a set of steps, intructions, or rules followed to accomplish a specific task. In computer science, an algorithm is a set of instructions in a computer program that solves a computational problem.
algorithmic bias	Repeatable results that show bias, or skewed treatment, found in an algorithm. For example, social media algorithms may prioritize or stigmatize content from certain groups of users.
aliasing	To have two or more references to the same thing, such as a data structure in memory or a file on disk.
alternative classes with different interfaces	Two classes. Same job. Different spelling. One says hug_zombie(), the other says hug_snowman(), and neither realizes they're duplicating logic behind method names that could share a single interface.
